school_name,team_id,logo_url,local_path,filename
Stony Brook,418,https://s3.amazonaws.com/cstest/mb/2022/11/6733158d-e90d-4f26-bc0f-13281d5a61ae.jpg.220x220_q95.jpg,school_logos/Stony_Brook_418.jpg,Stony_Brook_418.jpg
Texas A&M,80,https://s3.amazonaws.com/cstest/teams/80/texas-am-university-logo.jpg.220x220_q95.jpg,school_logos/Texas_AM_80.jpg,Texas_AM_80.jpg
TCU,318,https://s3.amazonaws.com/cstest/mb/2019/12/ca9996be-63c1-4a.png.220x220_q95.jpg,school_logos/TCU_318.png,TCU_318.png
Towson,320,https://s3.amazonaws.com/cstest/mb/2022/08/1086a759-b6b5-41b4-a3eb-dea3eddbb175.jpg.220x220_q95.jpg,school_logos/Towson_320.jpg,Towson_320.jpg
Air Force,337,https://s3.amazonaws.com/cstest/teams/AF_blue_Logo.jpg.220x220_q95.jpg,school_logos/Air_Force_337.jpg,Air_Force_337.jpg
Army,326,https://s3.amazonaws.com/cstest/teams/Athena_Logo_Primary.jpg.220x220_q95.jpg,school_logos/Army_326.jpg,Army_326.jpg
Navy,327,https://s3.amazonaws.com/cstest/teams/327/us-naval-academy-navy-logo.jpg.220x220_q95.jpg,school_logos/Navy_327.jpg,Navy_327.jpg
UMBC,138,https://s3.amazonaws.com/cstest/teams/138/maryland-baltimore-county-university-of-umbc-logo.jpg.220x220_q95.jpg,school_logos/UMBC_138.jpg,UMBC_138.jpg
Alabama,65,https://s3.amazonaws.com/cstest/mb/2023/01/f7b502ea-96be-4551-9909-6706b4ec029c.jpg.220x220_q95.jpg,school_logos/Alabama_65.jpg,Alabama_65.jpg
Arizona,120,https://s3.amazonaws.com/cstest/teams/80-arizona.gif.220x220_q95.jpg,school_logos/Arizona_120.jpg,Arizona_120.jpg
California,110,https://s3.amazonaws.com/cstest/teams/california.gif.220x220_q95.jpg,school_logos/California_110.jpg,California_110.jpg
UC San Diego,121,https://s3.amazonaws.com/cstest/mb/2021/09/c2b7deb8-83f8-4b13-94a6-49e3b0fe6570.jpg.220x220_q95.jpg,school_logos/UC_San_Diego_121.jpg,UC_San_Diego_121.jpg
UC-Santa Barbara,194,https://s3.amazonaws.com/cstest/mb/2017/06/ucsb_logo_300_x_300.png.220x220_q95.png,school_logos/UC-Santa_Barbara_194.png,UC-Santa_Barbara_194.png
Cincinnati,260,https://s3.amazonaws.com/cstest/teams/80-cincinnati.gif.220x220_q95.jpg,school_logos/Cincinnati_260.jpg,Cincinnati_260.jpg
Connecticut,28,https://s3.amazonaws.com/cstest/teams/28/connecticut-university-of-logo.gif.220x220_q95.jpg,school_logos/Connecticut_28.jpg,Connecticut_28.jpg
Delaware,275,https://s3.amazonaws.com/cstest/mb/2019/01/0e3c309a-b2d7-4b.png.220x220_q95.jpg,school_logos/Delaware_275.png,Delaware_275.png
Denver,276,https://s3.amazonaws.com/cstest/teams/DU_Monogram_3C_1.jpg.220x220_q95.jpg,school_logos/Denver_276.jpg,Denver_276.jpg
Evansville,240,https://s3.amazonaws.com/cstest/teams/240.gif.220x220_q95.png,school_logos/Evansville_240.png,Evansville_240.png
Florida,117,https://s3.amazonaws.com/cstest/teams/Gatorhead-color_.jpg.220x220_q95.jpg,school_logos/Florida_117.jpg,Florida_117.jpg
Georgia,124,https://s3.amazonaws.com/cstest/teams/80-georgia.gif.220x220_q95.jpg,school_logos/Georgia_124.jpg,Georgia_124.jpg
Hawaii,51,https://s3.amazonaws.com/cstest/teams/80-hawaii1.gif.220x220_q95.jpg,school_logos/Hawaii_51.jpg,Hawaii_51.jpg
Illinois-Chicago,158,https://s3.amazonaws.com/cstest/mb/2020/12/e037a2c0-2e40-4791-9f2a-568c3e3e75c1.jpg.220x220_q95.jpg,school_logos/Illinois-Chicago_158.jpg,Illinois-Chicago_158.jpg
Incarnate Word,154,https://s3.amazonaws.com/cstest/teams/IncarnateWord.jpg.220x220_q95.jpg,school_logos/Incarnate_Word_154.jpg,Incarnate_Word_154.jpg
Kentucky,176,https://s3.amazonaws.com/cstest/mb/2016/09/Untitled-1_VyAYN2i.png.220x220_q95.png,school_logos/Kentucky_176.png,Kentucky_176.png
Louisville,174,https://s3.amazonaws.com/cstest/teams/174/louisville-university-of-logo.png.220x220_q95.jpg,school_logos/Louisville_174.png,Louisville_174.png
Maine,169,https://s3.amazonaws.com/cstest/teams/169.gif.220x220_q95.png,school_logos/Maine_169.png,Maine_169.png
Massachusetts,421,https://s3.amazonaws.com/cstest/mb/2022/11/e629bd34-98ac-496a-98b7-8902f6decc44.jpg.220x220_q95.jpg,school_logos/Massachusetts_421.jpg,Massachusetts_421.jpg
Michigan,89,https://s3.amazonaws.com/cstest/teams/Single_Border_Blue_M.JPG.220x220_q95.jpg,school_logos/Michigan_89.jpg,Michigan_89.jpg
Minnesota,31,https://s3.amazonaws.com/cstest/teams/80-minnesota.gif.220x220_q95.jpg,school_logos/Minnesota_31.jpg,Minnesota_31.jpg
Missouri,431,https://s3.amazonaws.com/cstest/teams/80-missouri.gif.220x220_q95.jpg,school_logos/Missouri_431.jpg,Missouri_431.jpg
